ActivityName,Address,Card,Content,DiscountType,GoogleAddress,Latitude,Longutitude,Remark,StoreBranchName,Tel,Time,_id
Openpoint積點,台北市大安區四維路170巷18號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,106台灣台北市大安區四維路170巷18號,25.0281362,121.5471285,,布萊恩紅茶大安店,02-2708-7034,,5a44b9b900775d838d414cc0
Openpoint積點,台北市中正區忠孝西路一段47號b1 號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,100台灣台北市中正區忠孝西路一段47號,25.046392,121.5174304,,布萊恩紅茶誠品站前店,0914-151-024,,5a44b9b900775d838d414cc1
Openpoint積點,新北市板橋區莒光路7號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,220台灣新北市板橋區莒光路7號,25.0249596,121.4697476,,布萊恩紅茶新北板橋店,02-2250-2525,,5a44b9b900775d838d414cc2
Openpoint積點,台北市信義區忠孝東路5段6號1樓,iCASH聯名卡,消費1元累積Openpoint點數1點,食,110台灣台北市信義區忠孝東路五段6號,25.04063,121.565295,,Semeur聖娜市府門市,02-2722-9609,,5a44b9b900775d838d414cc3
Openpoint積點,台北市萬華區西園路一段153號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,108台灣台北市萬華區西園路一段153號,25.0354487,121.4995792,,Semeur聖娜龍山門市,02-2338-1414,,5a44b9b900775d838d414cc4
Openpoint積點,新北市新店區北新路一段303號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,231台灣新北市新店區北新路一段303號,24.967755,121.541247,,Semeur聖娜北新門市,02-8919-3462,,5a44b9b900775d838d414cc5
Openpoint積點,台北市文山區興隆路三段111號,iCASH聯名卡,消費1元累積Openpoint點數1點,食,116台灣台北市文山區興隆路三段111號,24.9996897,121.5575845,,Semeur聖娜萬芳門市,02-2933-6854,,5a44b9b900775d838d414cc6
Openpoint積點,新北市鶯歌區文化路68號2樓,iCASH聯名卡,消費1元累積Openpoint點數1點,食,239台灣新北市鶯歌區文化路68號,24.9545245,121.3552804,,Semeur聖娜鶯歌門市,02-2677-5833,,5a44b9b900775d838d414cc7
Openpoint積點,台北市中正區市民大道三段2號1樓,iCASH聯名卡,消費1元累積Openpoint點數1點,食,10491台灣台北市中正區市民大道三段2號,25.0452613,121.5312585,,Semeur聖娜三創門市,02-2341-7200,,5a44b9b900775d838d414cc8
Openpoint積點,台北市大安區信義路四段267號1樓,iCASH聯名卡,消費1元累積Openpoint點數1點,食,106台灣台北市大安區信義路四段267號,25.0333774,121.5543794,,Semeur聖娜信義門市,02-2704-5073,,5a44b9b900775d838d414cc9
Openpoint積點,新北市中和區中山路三段122號B2樓,iCASH聯名卡,消費1元累積Openpoint點數1點,食,235台灣新北市中和區中山路三段122號,25.0066732,121.4747785,,Semeur聖娜環球門市,02-2228-1078,,5a44b9b900775d838d414cca
